RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Value
811.50183,784.90845,792.96704,782.8938,R
1079.0476,797.8022,795.78754,797.3993,R
817.1429,786.1172,801.4286,813.1135,R
832.0513,790.14655,786.52014,792.1612,R
835.2747,769.59705,785.31134,815.12823,R
796.1905,777.6557,792.1612,780.07324,R
858.6447,788.1319,782.49084,841.7216,R
585.05493,781.685,792.5641,774.83514,R
852.6007,779.2674,790.9524,795.78754,R
818.3516,787.326,796.1905,808.68134,R
841.7216,784.90845,801.4286,817.9487,R
821.978,781.685,792.5641,786.9231,R
712.381,788.93774,796.99634,833.2601,R
803.44324,799.41394,801.8315,773.22345,R
792.5641,776.04395,791.3553,803.8461,R
780.07324,778.46155,787.326,789.34064,R
826.4103,772.4176,795.38464,824.7985,R
808.68134,769.19415,793.36993,820.3663,R
824.7985,778.0586,801.02563,825.6044,R
791.75824,783.69965,795.78754,774.0293,R
791.75824,789.7436,799.41394,813.5165,R
803.0403,778.46155,798.20514,794.17584,R
818.7546,776.8498,792.5641,818.3516,R
797.8022,792.1612,794.9817,788.93774,R
794.17584,784.10254,796.5934,790.9524,R
739.3773,776.8498,789.7436,772.8205,R
812.3077,786.9231,796.5934,809.4872,R
573.7729,785.31134,796.1905,811.50183,R
903.36993,776.8498,770.40295,809.0842,R
750.65936,777.25275,789.7436,815.9341,R
770.80585,809.0842,801.4286,793.7729,R
832.0513,774.43225,787.326,830.4396,R
801.02563,789.7436,799.011,792.96704,R
824.7985,747.8388,779.67035,832.8571,R
772.4176,776.8498,805.05493,786.9231,R
812.71063,810.696,807.8755,847.76556,R
792.1612,790.54944,809.89014,803.8461,R
803.8461,780.87915,810.696,784.10254,R
819.9634,786.9231,812.71063,821.978,R
784.5055,778.86444,796.99634,796.5934,R
807.8755,779.2674,790.14655,816.7399,R
811.9048,781.28204,782.0879,799.81683,R
800.2198,632.1978,811.0989,809.89014,R
823.1868,773.6264,798.60803,794.57874,R
864.2857,712.7839,798.60803,842.1245,R
786.52014,790.14655,817.9487,790.14655,R
820.7692,772.8205,811.0989,819.9634,R
802.6374,717.2161,817.5458,788.93774,R
818.3516,823.5897,818.7546,807.8755,R
821.978,764.7619,815.9341,801.8315,R
805.4579,768.7912,792.5641,812.3077,R
801.4286,770,802.23444,795.78754,R
786.9231,764.7619,821.5751,783.2967,R
791.75824,794.17584,812.71063,787.72894,R
791.3553,780.4762,811.0989,808.2784,R
815.5311,762.3443,775.2381,828.8278,R
855.0183,794.17584,801.8315,817.1429,R
449.2674,795.38464,817.5458,781.28204,R
844.5421,814.3223,842.52747,835.2747,R
811.9048,796.5934,822.381,789.34064,R
813.5165,786.52014,815.9341,819.9634,R
813.91943,794.57874,815.5311,815.5311,R
790.54944,784.5055,811.50183,794.57874,R
824.7985,793.36993,810.696,781.28204,R
780.07324,752.674,817.5458,793.36993,R
816.7399,770.80585,813.1135,811.9048,R
810.696,785.31134,780.87915,807.8755,R
796.5934,221.61172,815.12823,806.26373,R
778.86444,791.3553,804.2491,778.0586,R
801.02563,901.3553,823.1868,774.0293,R
788.1319,739.3773,832.0513,785.7143,R
790.54944,911.4286,799.41394,762.3443,R
820.7692,908.20514,816.7399,823.1868,R
829.6337,858.24176,787.326,804.2491,R
774.43225,849.3773,822.7839,763.95605,R
763.95605,887.25275,813.91943,772.4176,R
794.9817,859.45056,813.91943,788.5348,R
788.5348,845.34796,807.47253,781.685,R
817.9487,840.9158,813.5165,822.381,R
808.2784,786.1172,803.44324,812.71063,R
783.69965,817.1429,851.39197,798.60803,R
766.3736,833.663,828.8278,807.0696,R
795.38464,836.8865,814.3223,772.8205,R
790.54944,783.2967,820.3663,784.5055,R
793.7729,823.1868,809.0842,794.9817,R
799.41394,824.7985,792.5641,792.96704,R
792.96704,801.02563,813.1135,789.34064,R
807.8755,809.89014,812.3077,807.47253,R
809.0842,842.9304,815.12823,800.6227,R
815.5311,819.9634,804.65204,816.337,R
810.293,811.0989,809.0842,813.91943,R
806.26373,810.293,810.696,800.2198,R
817.5458,831.6484,796.1905,811.0989,R
851.79486,902.1612,898.1319,857.03296,B
857.03296,817.1429,801.8315,869.92676,B
939.2308,825.2015,799.011,924.3223,B
971.8681,819.15753,809.4872,944.87177,B
699.89014,821.978,815.9341,722.8571,B
949.707,826.8132,813.5165,928.3516,B
768.3883,816.337,807.0696,780.4762,B
929.9634,815.5311,807.0696,913.0403,B
702.3077,817.5458,813.5165,718.022,B
753.47986,825.2015,808.2784,769.19415,B
815.5311,832.8571,813.1135,821.5751,B
877.5824,822.7839,811.0989,867.1062,B
959.3773,823.9927,805.05493,931.1722,B
718.8278,817.9487,812.3077,738.97437,B
717.619,828.022,819.9634,735.34796,B
836.4835,826.4103,810.293,832.0513,B
776.4469,833.663,819.9634,771.6117,B
947.28937,821.5751,812.71063,927.1429,B
691.4286,815.12823,798.60803,714.3956,B
705.9341,829.6337,806.6667,727.28937,B
975.4945,829.2308,815.12823,943.2601,B
706.7399,826.0073,814.7253,727.28937,B
940.0366,827.2161,816.7399,921.9048,B
777.6557,828.4249,813.5165,783.2967,B
817.5458,823.5897,809.4872,817.1429,B
904.9817,821.1722,817.1429,884.0293,B
835.6777,825.2015,812.3077,826.4103,B
968.24176,824.7985,815.12823,941.2454,B
845.7509,823.1868,809.0842,838.0952,B
910.2198,826.4103,799.81683,872.3443,B
712.381,821.978,811.50183,740.989,B
761.9414,841.7216,790.54944,762.74725,B
707.5458,817.9487,801.8315,730.9158,B
910.2198,828.4249,805.8608,895.7143,B
771.6117,821.5751,803.0403,769.59705,B
821.978,823.5897,804.2491,813.91943,B
876.77655,827.2161,813.91943,867.50916,B
817.9487,826.8132,796.1905,815.5311,B
765.16486,822.7839,800.6227,776.8498,B
831.2454,815.12823,807.47253,834.0659,B
714.7985,815.12823,801.02563,731.31866,B
968.6447,822.381,804.2491,934.3956,B
705.9341,812.71063,802.23444,740.18317,B
728.9011,825.2015,798.60803,755.89746,B
740.58606,813.91943,801.8315,761.53845,B
824.3956,815.5311,798.20514,828.8278,B
871.13556,823.9927,796.1905,861.8681,B
728.9011,819.15753,795.38464,748.24176,B
786.9231,817.1429,802.6374,805.05493,B
711.1722,821.978,811.50183,737.76556,B
846.1539,815.9341,800.6227,840.5128,B
773.6264,819.15753,797.8022,774.43225,B
787.72894,819.9634,792.96704,795.38464,B
918.68134,821.5751,803.44324,892.49084,B
859.45056,812.3077,801.8315,852.1978,B
953.73627,812.71063,799.41394,933.5897,B
981.53845,816.337,799.41394,953.73627,B
697.8755,820.3663,801.4286,723.663,B
881.6117,817.1429,794.57874,862.27106,B
942.4542,811.50183,791.75824,919.4872,B
778.0586,813.91943,799.41394,800.6227,B
756.30035,803.44324,796.5934,781.28204,B
851.79486,902.1612,898.1319,857.03296,F
857.03296,817.1429,801.8315,869.92676,F
939.2308,825.2015,799.011,924.3223,F
971.8681,819.15753,809.4872,944.87177,F
699.89014,821.978,815.9341,722.8571,F
949.707,826.8132,813.5165,928.3516,F
768.3883,816.337,807.0696,780.4762,F
929.9634,815.5311,807.0696,913.0403,F
702.3077,817.5458,813.5165,718.022,F
753.47986,825.2015,808.2784,769.19415,F
815.5311,832.8571,813.1135,821.5751,F
877.5824,822.7839,811.0989,867.1062,F
959.3773,823.9927,805.05493,931.1722,F
718.8278,817.9487,812.3077,738.97437,F
717.619,828.022,819.9634,735.34796,F
836.4835,826.4103,810.293,832.0513,F
776.4469,833.663,819.9634,771.6117,F
947.28937,821.5751,812.71063,927.1429,F
691.4286,815.12823,798.60803,714.3956,F
705.9341,829.6337,806.6667,727.28937,F
975.4945,829.2308,815.12823,943.2601,F
706.7399,826.0073,814.7253,727.28937,F
940.0366,827.2161,816.7399,921.9048,F
777.6557,828.4249,813.5165,783.2967,F
817.5458,823.5897,809.4872,817.1429,F
904.9817,821.1722,817.1429,884.0293,F
835.6777,825.2015,812.3077,826.4103,F
968.24176,824.7985,815.12823,941.2454,F
845.7509,823.1868,809.0842,838.0952,F
910.2198,826.4103,799.81683,872.3443,F
712.381,821.978,811.50183,740.989,F
761.9414,841.7216,790.54944,762.74725,F
707.5458,817.9487,801.8315,730.9158,F
910.2198,828.4249,805.8608,895.7143,F
771.6117,821.5751,803.0403,769.59705,F
821.978,823.5897,804.2491,813.91943,F
876.77655,827.2161,813.91943,867.50916,F
817.9487,826.8132,796.1905,815.5311,F
765.16486,822.7839,800.6227,776.8498,F
831.2454,815.12823,807.47253,834.0659,F
714.7985,815.12823,801.02563,731.31866,F
968.6447,822.381,804.2491,934.3956,F
705.9341,812.71063,802.23444,740.18317,F
728.9011,825.2015,798.60803,755.89746,F
740.58606,813.91943,801.8315,761.53845,F
824.3956,815.5311,798.20514,828.8278,F
871.13556,823.9927,796.1905,861.8681,F
728.9011,819.15753,795.38464,748.24176,F
786.9231,817.1429,802.6374,805.05493,F
711.1722,821.978,811.50183,737.76556,F
846.1539,815.9341,800.6227,840.5128,F
773.6264,819.15753,797.8022,774.43225,F
787.72894,819.9634,792.96704,795.38464,F
918.68134,821.5751,803.44324,892.49084,F
859.45056,812.3077,801.8315,852.1978,F
953.73627,812.71063,799.41394,933.5897,F
981.53845,816.337,799.41394,953.73627,F
697.8755,820.3663,801.4286,723.663,F
881.6117,817.1429,794.57874,862.27106,F
942.4542,811.50183,791.75824,919.4872,F
778.0586,813.91943,799.41394,800.6227,F
756.30035,803.44324,796.5934,781.28204,F
